mode,map,brawler,rank,wins,total,winrate,userate
bounty,Dry Season,8-BIT,10,0,1,0.0,0.1
bounty,Dry Season,8-BIT,11,1,2,50.0,0.1
bounty,Dry Season,8-BIT,12,1,5,20.0,0.1
bounty,Dry Season,8-BIT,13,4,17,23.5,0.0
bounty,Dry Season,8-BIT,14,1,4,25.0,0.0
bounty,Dry Season,8-BIT,15,2,2,100.0,0.1
bounty,Dry Season,8-BIT,18,0,1,0.0,0.4
bounty,Dry Season,ALLI,10,1,2,50.0,0.2
bounty,Dry Season,ALLI,11,0,1,0.0,0.1
bounty,Dry Season,ALLI,12,3,6,50.0,0.2
bounty,Dry Season,ALLI,13,16,32,50.0,0.1
bounty,Dry Season,ALLI,14,3,7,42.9,0.1
bounty,Dry Season,ALLI,15,1,2,50.0,0.1
bounty,Dry Season,ALLI,16,0,1,0.0,0.1
bounty,Dry Season,ALLI,20,1,1,100.0,5.3
bounty,Dry Season,AMBER,11,1,3,33.3,0.2
bounty,Dry Season,AMBER,12,2,3,66.7,0.1
bounty,Dry Season,AMBER,13,10,17,58.8,0.0
bounty,Dry Season,AMBER,14,4,6,66.7,0.1
bounty,Dry Season,AMBER,15,0,3,0.0,0.1
bounty,Dry Season,AMBER,16,0,2,0.0,0.1
bounty,Dry Season,AMBER,18,2,2,100.0,0.9
bounty,Dry Season,ANGELO,10,5,12,41.7,1.4
bounty,Dry Season,ANGELO,11,10,18,55.6,1.0
bounty,Dry Season,ANGELO,12,19,34,55.9,0.9
bounty,Dry Season,ANGELO,13,174,354,49.2,1.0
bounty,Dry Season,ANGELO,14,75,154,48.7,1.3
bounty,Dry Season,ANGELO,15,17,45,37.8,1.2
bounty,Dry Season,ANGELO,16,16,34,47.1,2.1
bounty,Dry Season,ANGELO,17,2,2,100.0,0.6
bounty,Dry Season,ANGELO,18,2,4,50.0,1.7
bounty,Dry Season,ANGELO,19,1,4,25.0,2.5
bounty,Dry Season,ANGELO,21,1,1,100.0,9.1
bounty,Dry Season,ASH,10,0,1,0.0,0.1
bounty,Dry Season,ASH,11,0,1,0.0,0.1
bounty,Dry Season,ASH,12,0,1,0.0,0.0
bounty,Dry Season,ASH,13,0,3,0.0,0.0
bounty,Dry Season,ASH,14,1,2,50.0,0.0
bounty,Dry Season,BARLEY,10,0,1,0.0,0.1
bounty,Dry Season,BARLEY,13,8,13,61.5,0.0
bounty,Dry Season,BARLEY,14,0,1,0.0,0.0
bounty,Dry Season,BARLEY,18,0,1,0.0,0.4
bounty,Dry Season,BARLEY,20,1,1,100.0,5.3
bounty,Dry Season,BEA,10,10,15,66.7,1.8
bounty,Dry Season,BEA,11,17,25,68.0,1.4
bounty,Dry Season,BEA,12,28,49,57.1,1.3
bounty,Dry Season,BEA,13,228,438,52.1,1.2
bounty,Dry Season,BEA,14,43,109,39.4,0.9
bounty,Dry Season,BEA,15,7,20,35.0,0.5
bounty,Dry Season,BEA,16,2,6,33.3,0.4
bounty,Dry Season,BEA,17,2,2,100.0,0.6
bounty,Dry Season,BEA,18,1,1,100.0,0.4
bounty,Dry Season,BEA,19,1,2,50.0,1.3
bounty,Dry Season,BELLE,10,10,22,45.5,2.6
bounty,Dry Season,BELLE,11,24,51,47.1,3.0
bounty,Dry Season,BELLE,12,53,102,52.0,2.6
bounty,Dry Season,BELLE,13,461,922,50.0,2.5
bounty,Dry Season,BELLE,14,149,306,48.7,2.6
bounty,Dry Season,BELLE,15,46,96,47.9,2.6
bounty,Dry Season,BELLE,16,24,45,53.3,2.8
bounty,Dry Season,BELLE,17,5,8,62.5,2.5
bounty,Dry Season,BELLE,18,1,8,12.5,3.5
bounty,Dry Season,BELLE,19,2,4,50.0,2.5
bounty,Dry Season,BELLE,20,1,2,50.0,10.5
bounty,Dry Season,BELLE,21,1,1,100.0,9.1
bounty,Dry Season,BERRY,11,1,1,100.0,0.1
bounty,Dry Season,BERRY,12,1,4,25.0,0.1
bounty,Dry Season,BERRY,13,8,17,47.1,0.0
bounty,Dry Season,BERRY,14,0,2,0.0,0.0
bounty,Dry Season,BERRY,15,1,2,50.0,0.1
